Status Pesanan,Waktu Pesanan Dibuat,Metode Pembayaran,Jumlah,Returned Quantity,Total Diskon,Total Berat,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,Provinsi,Kategori Produk,Jenis Pembatalan,Alasan Pembatalan,Ekspedisi,Metode Pengiriman,Jumlah Terjual Bersih,Weekend
Selesai,2024-04-01 00:15:00,Saldo ShopeePay,1,0,0.0,1.0,0.0,10000.0,38300,10000.0,Banten,Home Organization & Living,nan,,SPX,Reguler,1,0
Selesai,2024-04-01 01:47:00,COD (Bayar di Tempat),1,0,0.0,0.5,0.0,14500.0,18576,14500.0,Jawa Tengah,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-01 04:25:00,SeaBank Bayar Instan,1,0,0.0,0.5,0.0,8000.0,7069,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
Selesai,2024-04-01 04:41:00,COD (Bayar di Tempat),2,0,0.0,0.4,0.0,20000.0,32200,20000.0,Jambi,Kitchen & Dining,nan,,SPX,Hemat,2,0
Batal,2024-04-01 06:12:00,COD (Bayar di Tempat),1,0,0.0,1.2,0.0,0.0,0,8000.0,Banten,Other,Pembeli,Ubah Pesanan yang Ada,SPX,Hemat,1,0
Batal,2024-04-01 06:12:00,COD (Bayar di Tempat),1,0,0.0,1.2,0.0,0.0,0,8000.0,Banten,Food Storage & Packaging,Pembeli,Ubah Pesanan yang Ada,SPX,Hemat,1,0
Batal,2024-04-01 06:12:00,COD (Bayar di Tempat),1,0,0.0,1.2,0.0,0.0,0,8000.0,Banten,Home Organization & Living,Pembeli,Ubah Pesanan yang Ada,SPX,Hemat,1,0
Selesai,2024-04-01 07:09:00,SPayLater,2,0,0.0,1.0,0.0,10000.0,40996,10000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,2,0
Batal,2024-04-01 07:23:00,SPayLater,1,0,0.0,1.7,0.0,0.0,0,16000.0,Banten,Kitchen & Dining,Pembeli,Ubah Pesanan yang Ada,SPX,Hemat,1,0
Selesai,2024-04-01 07:33:00,Online Payment,1,0,0.0,0.5,0.0,8000.0,18280,8000.0,Jawa Barat,Home Organization & Living,nan,,SPX,Hemat,1,0
