Waktu Pesanan Dibuat,Jumlah,Returned Quantity,Total Pembayaran,Total Diskon,Ongkos Kirim Dibayar oleh Pembeli,Jumlah Terjual Bersih,Weekend
2023-12-04,3,0,110840,0.0,16000.0,3,0.0
2023-12-05,1,0,18680,0.0,0.0,1,0.0
2023-12-06,0,0,0,0.0,0.0,0,0.0
2023-12-07,0,0,0,0.0,0.0,0,0.0
2023-12-08,0,0,0,0.0,0.0,0,0.0
2023-12-09,0,0,0,0.0,0.0,0,0.0
2023-12-10,2,0,64400,0.0,26000.0,2,1.0
2023-12-11,1,0,29080,0.0,10000.0,1,0.0
2023-12-12,1,0,6200,0.0,0.0,1,0.0
2023-12-13,2,0,56080,0.0,25000.0,2,0.0
2023-12-14,0,0,0,0.0,0.0,0,0.0
2023-12-15,0,0,0,0.0,0.0,0,0.0
2023-12-16,1,0,39520,0.0,21000.0,1,1.0
2023-12-17,1,0,27000,0.0,8000.0,1,1.0
2023-12-18,0,0,0,0.0,0.0,0,0.0
2023-12-19,1,0,27000,0.0,8000.0,1,0.0
2023-12-20,0,0,0,0.0,0.0,0,0.0
2023-12-21,0,0,0,0.0,0.0,0,0.0
2023-12-22,0,0,0,0.0,0.0,0,0.0
2023-12-23,1,0,29080,0.0,10000.0,1,1.0
2023-12-24,1,0,40500,0.0,20000.0,1,1.0
2023-12-25,1,0,29500,0.0,21500.0,1,0.0
2023-12-26,3,0,89739,0.0,34000.0,3,0.0
2023-12-27,1,0,31420,0.0,16500.0,1,0.0
2023-12-28,0,0,0,0.0,0.0,0,0.0
2023-12-29,0,0,0,0.0,0.0,0,0.0
2023-12-30,0,0,0,0.0,0.0,0,0.0
2023-12-31,0,0,0,0.0,0.0,0,0.0
2024-01-01,1,0,23500,0.0,5500.0,1,0.0
2024-01-02,1,0,33306,0.0,16000.0,1,0.0
2024-01-03,0,0,0,0.0,0.0,0,0.0
2024-01-04,1,0,48840,0.0,8000.0,1,0.0
2024-01-05,0,0,0,0.0,0.0,0,0.0
2024-01-06,0,0,0,0.0,0.0,0,0.0
2024-01-07,1,0,17000,0.0,0.0,1,1.0
2024-01-08,0,0,0,0.0,0.0,0,0.0
2024-01-09,1,0,33900,0.0,10000.0,1,0.0
2024-01-10,0,0,0,0.0,0.0,0,0.0
2024-01-11,0,0,0,0.0,0.0,0,0.0
2024-01-12,0,0,0,0.0,0.0,0,0.0
2024-01-13,0,0,0,0.0,0.0,0,0.0
2024-01-14,0,0,0,0.0,0.0,0,0.0
2024-01-15,0,0,0,0.0,0.0,0,0.0
2024-01-16,0,0,0,0.0,0.0,0,0.0
2024-01-17,1,0,58700,0.0,10000.0,1,0.0
2024-01-18,0,0,0,0.0,0.0,0,0.0
2024-01-19,0,0,0,0.0,0.0,0,0.0
2024-01-20,0,0,0,0.0,0.0,0,0.0
2024-01-21,0,0,0,0.0,0.0,0,0.0
2024-01-22,0,0,0,0.0,0.0,0,0.0
2024-01-23,0,0,0,0.0,0.0,0,0.0
