Waktu Pesanan Dibuat,Jumlah,Returned Quantity,Total Pembayaran,Total Diskon,Ongkos Kirim Dibayar oleh Pembeli,Jumlah Terjual Bersih,Weekend
2023-12-01,8,0,218100,0.0,32000.0,8,0.0
2023-12-02,2,0,71228,0.0,30500.0,2,1.0
2023-12-03,7,0,369855,0.0,160500.0,7,1.0
2023-12-04,15,0,507987,0.0,121000.0,15,0.0
2023-12-05,13,0,437864,0.0,77500.0,13,0.0
2023-12-06,16,0,858537,0.0,143500.0,16,0.0
2023-12-07,8,0,377684,0.0,67500.0,8,0.0
2023-12-08,4,0,240397,0.0,91000.0,4,0.0
2023-12-09,8,0,265544,0.0,88000.0,8,1.0
2023-12-10,5,0,172977,0.0,39500.0,5,1.0
2023-12-11,10,0,332854,0.0,107500.0,10,0.0
2023-12-12,21,0,708136,0.0,75000.0,21,0.0
2023-12-13,13,0,283995,0.0,7500.0,13,0.0
2023-12-14,28,0,641006,0.0,162500.0,28,0.0
2023-12-15,5,0,165076,0.0,47500.0,5,0.0
2023-12-16,4,0,112150,0.0,38000.0,4,1.0
2023-12-17,15,0,360750,0.0,64500.0,15,1.0
2023-12-18,7,0,274433,0.0,145500.0,7,0.0
2023-12-19,2,0,87700,0.0,48000.0,2,0.0
2023-12-20,5,0,134948,0.0,34000.0,5,0.0
2023-12-21,5,0,128601,0.0,35000.0,5,0.0
2023-12-22,10,0,395560,0.0,17500.0,10,0.0
2023-12-23,14,0,287406,0.0,48000.0,14,1.0
2023-12-24,5,0,291080,0.0,128000.0,5,1.0
2023-12-25,7,0,137156,0.0,16000.0,7,0.0
2023-12-26,3,0,85888,0.0,26000.0,3,0.0
2023-12-27,4,0,183320,0.0,58500.0,4,0.0
2023-12-28,6,0,207427,0.0,42000.0,6,0.0
2023-12-29,10,0,267430,0.0,45500.0,10,0.0
2023-12-30,4,0,130142,0.0,32000.0,4,1.0
2023-12-31,4,0,56068,0.0,9000.0,4,1.0
2024-01-01,40,0,1040639,0.0,46000.0,40,0.0
2024-01-02,5,0,138400,0.0,32000.0,5,0.0
2024-01-03,9,0,393468,0.0,138000.0,9,0.0
2024-01-04,9,0,402024,0.0,115500.0,9,0.0
2024-01-05,8,0,221798,0.0,53000.0,8,0.0
2024-01-06,5,0,249459,0.0,59500.0,5,1.0
2024-01-07,5,0,253411,0.0,87000.0,5,1.0
2024-01-08,2,0,131240,0.0,24000.0,2,0.0
2024-01-09,9,0,234930,0.0,73500.0,9,0.0
2024-01-10,7,0,180084,0.0,61500.0,7,0.0
2024-01-11,17,0,415424,0.0,112000.0,17,0.0
2024-01-12,7,0,176243,0.0,45500.0,7,0.0
2024-01-13,4,0,110104,0.0,24000.0,4,1.0
2024-01-14,9,0,196068,0.0,50500.0,9,1.0
2024-01-15,5,0,183550,0.0,42500.0,5,0.0
2024-01-16,8,0,253444,0.0,86000.0,8,0.0
2024-01-17,8,0,271201,0.0,58000.0,8,0.0
2024-01-18,4,0,116245,0.0,18000.0,4,0.0
2024-01-19,4,0,101576,0.0,19500.0,4,0.0
2024-01-20,6,0,249441,0.0,56000.0,6,1.0
2024-01-21,7,0,302638,0.0,34000.0,7,1.0
2024-01-22,2,0,53510,0.0,16000.0,2,0.0
2024-01-23,5,0,437517,0.0,87101.0,5,0.0
2024-01-24,2,0,77120,0.0,19000.0,2,0.0
2024-01-25,14,0,400594,0.0,18000.0,14,0.0
2024-01-26,12,0,405774,0.0,54000.0,12,0.0
2024-01-27,7,0,177587,0.0,32000.0,7,1.0
2024-01-28,5,0,268140,0.0,35000.0,5,1.0
2024-01-29,10,0,401912,0.0,112000.0,10,0.0
2024-01-30,4,0,201492,0.0,60000.0,4,0.0
2024-01-31,3,0,167000,0.0,32500.0,3,0.0
2024-02-01,5,0,207744,0.0,40000.0,5,0.0
2024-02-02,42,0,1218315,0.0,1109000.0,42,0.0
2024-02-03,9,0,382837,0.0,127600.0,9,1.0
2024-02-04,10,0,494188,0.0,95500.0,10,1.0
2024-02-05,5,0,197900,0.0,43000.0,5,0.0
2024-02-06,3,0,157200,0.0,50000.0,3,0.0
2024-02-07,2,0,53862,0.0,20000.0,2,0.0
2024-02-08,2,0,34350,0.0,8000.0,2,0.0
2024-02-09,3,0,101612,0.0,24000.0,3,0.0
2024-02-10,6,0,227586,0.0,78000.0,6,1.0
2024-02-11,4,0,140512,0.0,31000.0,4,1.0
2024-02-12,6,0,189513,0.0,53500.0,6,0.0
2024-02-13,5,0,197408,0.0,32000.0,5,0.0
2024-02-14,2,0,49635,0.0,16000.0,2,0.0
2024-02-15,9,0,418716,0.0,121500.0,9,0.0
2024-02-16,6,0,151917,0.0,32000.0,6,0.0
2024-02-17,7,0,206501,0.0,54500.0,7,1.0
2024-02-18,11,0,326534,0.0,38000.0,11,1.0
2024-02-19,9,0,1077292,0.0,112000.0,9,0.0
2024-02-20,4,0,142402,0.0,41000.0,4,0.0
2024-02-21,27,0,582611,0.0,47000.0,27,0.0
2024-02-22,16,0,694824,0.0,133300.0,16,0.0
2024-02-23,6,0,233952,0.0,56000.0,6,0.0
2024-02-24,3,0,102616,0.0,40500.0,3,1.0
2024-02-25,35,0,1694636,0.0,609500.0,35,1.0
2024-02-26,11,0,394416,0.0,110600.0,11,0.0
2024-02-27,10,0,412102,0.0,127500.0,10,0.0
2024-02-28,3,0,205707,0.0,84600.0,3,0.0
2024-02-29,7,0,223621,0.0,77500.0,7,0.0
2024-03-01,4,0,103614,0.0,35000.0,4,0.0
2024-03-02,1,0,28800,0.0,8000.0,1,1.0
2024-03-03,49,0,1923312,0.0,152703.0,49,1.0
2024-03-04,12,0,235705,0.0,22000.0,12,0.0
2024-03-05,4,0,172320,0.0,66000.0,4,0.0
2024-03-06,15,0,363376,0.0,92001.0,15,0.0
2024-03-07,11,0,415260,0.0,104000.0,11,0.0
2024-03-08,12,0,610226,0.0,196300.0,12,0.0
2024-03-09,4,0,152095,0.0,42500.0,4,1.0
2024-03-10,16,6,584892,0.0,150400.0,10,1.0
2024-03-11,13,0,494560,0.0,112500.0,13,0.0
2024-03-12,8,0,429900,0.0,55500.0,8,0.0
2024-03-13,4,0,109219,0.0,21000.0,4,0.0
2024-03-14,12,0,523145,0.0,123000.0,12,0.0
2024-03-15,5,0,152846,0.0,46500.0,5,0.0
2024-03-16,4,0,113915,0.0,27000.0,4,1.0
2024-03-17,5,0,130715,0.0,19500.0,5,1.0
2024-03-18,7,0,232061,0.0,65000.0,7,0.0
2024-03-19,7,0,228650,0.0,70000.0,7,0.0
2024-03-20,6,0,397144,0.0,110000.0,6,0.0
2024-03-21,3,0,82212,0.0,25500.0,3,0.0
2024-03-22,8,0,179292,0.0,27500.0,8,0.0
2024-03-23,7,0,209478,0.0,36000.0,7,1.0
2024-03-24,6,0,246453,0.0,43000.0,6,1.0
2024-03-25,21,0,496067,0.0,19000.0,21,0.0
2024-03-26,31,0,697500,0.0,90000.0,31,0.0
2024-03-27,26,0,400849,0.0,55500.0,26,0.0
2024-03-28,14,0,843150,0.0,135000.0,14,0.0
2024-03-29,18,0,519279,0.0,80100.0,18,0.0
2024-03-30,15,0,219051,0.0,47000.0,15,1.0
2024-03-31,9,0,310023,0.0,72000.0,9,1.0
2024-04-01,17,0,516693,0.0,33000.0,17,0.0
2024-04-02,1,0,27000,0.0,10000.0,1,0.0
2024-04-03,0,0,0,0.0,0.0,0,0.0
2024-04-04,0,0,0,0.0,0.0,0,0.0
2024-04-05,0,0,0,0.0,0.0,0,0.0
2024-04-06,0,0,0,0.0,0.0,0,0.0
2024-04-07,0,0,0,0.0,0.0,0,0.0
2024-04-08,1,0,50000,0.0,8000.0,1,0.0
2024-04-09,10,0,287449,0.0,66000.0,10,0.0
2024-04-10,7,0,271910,0.0,21000.0,7,0.0
2024-04-11,7,0,201610,0.0,32000.0,7,0.0
2024-04-12,9,0,255976,0.0,41000.0,9,0.0
2024-04-13,14,0,516716,0.0,103500.0,14,1.0
2024-04-14,15,0,393646,0.0,96000.0,15,1.0
2024-04-15,20,0,695064,0.0,186000.0,20,0.0
2024-04-16,6,0,253212,0.0,48500.0,6,0.0
2024-04-17,51,0,1227291,0.0,76100.0,51,0.0
2024-04-18,15,2,478853,0.0,142000.0,13,0.0
2024-04-19,24,0,739038,0.0,185500.0,24,0.0
2024-04-20,14,0,374612,0.0,65500.0,14,1.0
2024-04-21,16,0,563292,0.0,118500.0,16,1.0
2024-04-22,39,0,594374,0.0,50000.0,39,0.0
2024-04-23,5,0,136087,0.0,36500.0,5,0.0
2024-04-24,6,0,133777,0.0,16000.0,6,0.0
2024-04-25,35,0,1604469,0.0,537800.0,35,0.0
2024-04-26,11,0,364265,0.0,78500.0,11,0.0
2024-04-27,7,0,585857,0.0,151100.0,7,1.0
2024-04-28,9,0,236059,0.0,40000.0,9,1.0
2024-04-29,11,0,553695,0.0,133000.0,11,0.0
2024-04-30,21,0,626862,0.0,116000.0,21,0.0
2024-05-01,9,0,320481,0.0,77000.0,9,0.0
2024-05-02,19,0,711835,0.0,119500.0,19,0.0
2024-05-03,9,0,567088,0.0,163000.0,9,0.0
2024-05-04,17,0,743664,0.0,202600.0,17,1.0
2024-05-05,33,0,947891,0.0,39000.0,33,1.0
2024-05-06,17,0,571650,0.0,561000.0,17,0.0
2024-05-07,3,0,87856,0.0,21500.0,3,0.0
2024-05-08,13,0,387938,0.0,110000.0,13,0.0
2024-05-09,18,0,1319063,0.0,148000.0,18,0.0
2024-05-10,7,0,149560,0.0,19000.0,7,0.0
2024-05-11,9,0,300358,0.0,79000.0,9,1.0
2024-05-12,20,0,832931,0.0,162500.0,20,1.0
2024-05-13,6,0,542016,0.0,150100.0,6,0.0
2024-05-14,22,0,1063392,0.0,192500.0,22,0.0
2024-05-15,11,0,456086,0.0,177500.0,11,0.0
2024-05-16,11,0,491450,0.0,68000.0,11,0.0
2024-05-17,5,0,167396,0.0,37500.0,5,0.0
2024-05-18,9,0,586605,0.0,161700.0,9,1.0
2024-05-19,5,0,395910,0.0,106500.0,5,1.0
2024-05-20,25,0,464612,0.0,32500.0,25,0.0
2024-05-21,11,0,316016,0.0,53000.0,11,0.0
2024-05-22,7,0,178535,0.0,33500.0,7,0.0
2024-05-23,8,0,514084,0.0,108500.0,8,0.0
2024-05-24,17,0,499957,0.0,117500.0,17,0.0
2024-05-25,28,0,808683,0.0,45900.0,28,1.0
2024-05-26,23,0,868081,0.0,140500.0,23,1.0
2024-05-27,21,0,577620,0.0,120500.0,21,0.0
2024-05-28,11,0,319205,0.0,75500.0,11,0.0
2024-05-29,9,0,358471,0.0,65500.0,9,0.0
2024-05-30,8,0,259823,0.0,69500.0,8,0.0
2024-05-31,14,0,407013,0.0,66500.0,14,0.0
2024-06-01,23,0,701303,0.0,80000.0,23,1.0
2024-06-02,20,0,616902,0.0,89500.0,20,1.0
2024-06-03,17,0,587178,0.0,113200.0,17,0.0
2024-06-04,9,0,278094,0.0,85000.0,9,0.0
2024-06-05,11,0,255681,0.0,22000.0,11,0.0
2024-06-06,48,0,1421656,0.0,69400.0,48,0.0
2024-06-07,10,0,332830,0.0,34500.0,10,0.0
2024-06-08,10,0,296795,0.0,69000.0,10,1.0
2024-06-09,12,0,380362,0.0,70500.0,12,1.0
2024-06-10,16,0,355233,0.0,35500.0,16,0.0
2024-06-11,9,0,157931,0.0,1000.0,9,0.0
2024-06-12,7,0,149160,0.0,17500.0,7,0.0
2024-06-13,14,0,331924,0.0,59500.0,14,0.0
2024-06-14,5,0,158428,0.0,39500.0,5,0.0
2024-06-15,5,0,102112,0.0,19000.0,5,1.0
2024-06-16,8,0,160658,0.0,14000.0,8,1.0
2024-06-17,9,0,234525,0.0,24000.0,9,0.0
2024-06-18,14,0,344774,0.0,556000.0,14,0.0
2024-06-19,9,0,376789,0.0,103800.0,9,0.0
2024-06-20,6,0,269728,0.0,40000.0,6,0.0
2024-06-21,20,0,716562,0.0,84000.0,20,0.0
2024-06-22,7,0,135657,0.0,10500.0,7,1.0
2024-06-23,4,0,116920,0.0,24000.0,4,1.0
2024-06-24,5,0,222052,0.0,36000.0,5,0.0
2024-06-25,13,0,368392,0.0,28400.0,13,0.0
2024-06-26,3,0,86521,0.0,16000.0,3,0.0
2024-06-27,4,0,189001,0.0,24000.0,4,0.0
2024-06-28,1,0,30120,0.0,11000.0,1,0.0
2024-06-29,2,0,173000,0.0,24000.0,2,1.0
2024-06-30,1,0,30640,0.0,11000.0,1,1.0
2024-07-01,30,0,697522,0.0,44000.0,30,0.0
2024-07-02,12,0,288571,0.0,4500.0,12,0.0
2024-07-03,27,0,738548,0.0,43500.0,27,0.0
2024-07-04,17,0,418600,0.0,26000.0,17,0.0
2024-07-05,60,0,783084,0.0,74000.0,60,0.0
2024-07-06,15,0,577025,0.0,124000.0,15,1.0
2024-07-07,39,0,1254463,0.0,119100.0,39,1.0
2024-07-08,22,0,1306147,0.0,86200.0,22,0.0
2024-07-09,37,0,1295470,0.0,153500.0,37,0.0
2024-07-10,60,0,1570018,0.0,559500.0,60,0.0
2024-07-11,25,0,727827,0.0,66500.0,25,0.0
2024-07-12,13,0,570408,0.0,41000.0,13,0.0
2024-07-13,14,0,482574,0.0,101000.0,14,1.0
2024-07-14,17,0,513970,0.0,70500.0,17,1.0
2024-07-15,10,0,226594,0.0,5000.0,10,0.0
2024-07-16,24,0,793133,0.0,99000.0,24,0.0
2024-07-17,18,0,519874,0.0,1027000.0,18,0.0
2024-07-18,16,0,390791,0.0,19000.0,16,0.0
2024-07-19,22,0,1809334,0.0,567000.0,22,0.0
2024-07-20,19,0,469704,0.0,45000.0,19,1.0
2024-07-21,6,0,223872,0.0,23000.0,6,1.0
2024-07-22,15,0,624134,0.0,37000.0,15,0.0
2024-07-23,14,0,507100,0.0,41400.0,14,0.0
2024-07-24,19,0,746516,0.0,132500.0,19,0.0
2024-07-25,29,0,926205,0.0,236500.0,29,0.0
2024-07-26,8,0,194184,0.0,23500.0,8,0.0
2024-07-27,12,0,305751,0.0,36000.0,12,1.0
2024-07-28,11,0,327317,0.0,24000.0,11,1.0
2024-07-29,20,0,463401,0.0,512000.0,20,0.0
2024-07-30,13,1,365618,0.0,27000.0,12,0.0
2024-07-31,16,0,595957,0.0,23000.0,16,0.0
2024-08-01,16,0,344828,0.0,508000.0,16,0.0
2024-08-02,23,0,768125,0.0,568000.0,23,0.0
2024-08-03,17,0,402732,0.0,542400.0,17,1.0
2024-08-04,9,0,344681,0.0,41000.0,9,1.0
2024-08-05,42,0,971900,0.0,69000.0,42,0.0
2024-08-06,12,0,318313,0.0,514000.0,12,0.0
