Waktu Pesanan Dibuat,Jumlah,Returned Quantity,Total Pembayaran,Total Diskon,Ongkos Kirim Dibayar oleh Pembeli,Jumlah Terjual Bersih,Weekend
2023-12-01,2,0,192890,0.0,86000.0,2,0.0
2023-12-02,14,0,467102,0.0,179000.0,14,1.0
2023-12-03,4,0,62724,0.0,9000.0,4,1.0
2023-12-04,5,0,241658,0.0,82000.0,5,0.0
2023-12-05,10,0,291600,0.0,102000.0,10,0.0
2023-12-06,12,0,757888,0.0,24000.0,12,0.0
2023-12-07,11,0,331446,0.0,54000.0,11,0.0
2023-12-08,24,0,253560,0.0,45000.0,24,0.0
2023-12-09,32,0,457680,0.0,54500.0,32,1.0
2023-12-10,3,0,42500,0.0,17000.0,3,1.0
2023-12-11,13,0,359370,0.0,80000.0,13,0.0
2023-12-12,49,0,754286,0.0,69500.0,49,0.0
2023-12-13,7,0,142901,0.0,36500.0,7,0.0
2023-12-14,2,0,116482,0.0,19500.0,2,0.0
2023-12-15,4,0,100055,0.0,24000.0,4,0.0
2023-12-16,15,0,180120,0.0,38000.0,15,1.0
2023-12-17,4,0,116520,0.0,23000.0,4,1.0
2023-12-18,5,0,117960,0.0,37000.0,5,0.0
2023-12-19,13,0,425962,0.0,87000.0,13,0.0
2023-12-20,3,0,110120,0.0,34000.0,3,0.0
2023-12-21,12,0,342824,0.0,70000.0,12,0.0
2023-12-22,10,0,414900,0.0,40500.0,10,0.0
2023-12-23,0,0,0,0.0,0.0,0,0.0
2023-12-24,6,0,155580,0.0,40500.0,6,1.0
2023-12-25,5,0,287452,0.0,94500.0,5,0.0
2023-12-26,4,0,145388,0.0,51500.0,4,0.0
2023-12-27,4,0,80440,0.0,16000.0,4,0.0
2023-12-28,2,0,40000,0.0,8000.0,2,0.0
2023-12-29,28,0,616929,0.0,156500.0,28,0.0
2023-12-30,1,0,24920,0.0,8000.0,1,1.0
2023-12-31,4,0,71500,0.0,10500.0,4,1.0
2024-01-01,19,0,3349932,0.0,169500.0,19,0.0
2024-01-02,130,0,954841,181500.0,191801.0,130,0.0
2024-01-03,20,0,497940,0.0,91000.0,20,0.0
2024-01-04,74,0,1344466,0.0,278802.0,74,0.0
2024-01-05,6,0,116360,0.0,39000.0,6,0.0
2024-01-06,6,0,343230,0.0,70500.0,6,1.0
2024-01-07,9,0,418450,0.0,87500.0,9,1.0
2024-01-08,9,0,236405,0.0,91500.0,9,0.0
2024-01-09,13,0,658121,0.0,36000.0,13,0.0
2024-01-10,6,0,631904,0.0,70000.0,6,0.0
2024-01-11,3,0,75840,0.0,26000.0,3,0.0
2024-01-12,7,0,330800,0.0,110800.0,7,0.0
2024-01-13,1,0,24920,0.0,8000.0,1,1.0
2024-01-14,8,0,182514,0.0,53500.0,8,1.0
2024-01-15,44,0,1691068,0.0,205000.0,44,0.0
2024-01-16,34,0,577666,0.0,57300.0,34,0.0
2024-01-17,9,0,239618,0.0,26000.0,9,0.0
2024-01-18,4,0,212660,0.0,51500.0,4,0.0
2024-01-19,1,0,40560,0.0,9000.0,1,0.0
2024-01-20,0,0,0,0.0,0.0,0,0.0
2024-01-21,12,0,255336,0.0,64000.0,12,1.0
2024-01-22,4,0,105552,0.0,37000.0,4,0.0
2024-01-23,18,0,1015823,0.0,80303.0,18,0.0
2024-01-24,3,0,71200,0.0,16000.0,3,0.0
2024-01-25,12,0,270803,0.0,16000.0,12,0.0
2024-01-26,7,0,258440,0.0,100000.0,7,0.0
2024-01-27,12,0,317994,0.0,81500.0,12,1.0
2024-01-28,6,0,207159,0.0,3000.0,6,1.0
2024-01-29,12,0,589130,0.0,179000.0,12,0.0
2024-01-30,0,0,0,0.0,0.0,0,0.0
2024-01-31,20,0,571288,0.0,149400.0,20,0.0
2024-02-01,2,0,56000,0.0,8500.0,2,0.0
2024-02-02,38,0,618091,0.0,90500.0,38,0.0
2024-02-03,7,0,180140,0.0,24000.0,7,1.0
2024-02-04,9,0,222174,0.0,34500.0,9,1.0
2024-02-05,2,0,48287,0.0,16000.0,2,0.0
2024-02-06,9,0,325488,0.0,63900.0,9,0.0
