Waktu Pesanan Dibuat,Jumlah,Returned Quantity,Total Pembayaran,Total Diskon,Ongkos Kirim Dibayar oleh Pembeli,Jumlah Terjual Bersih,Weekend
2023-12-01,2,0,129370,0.0,51000.0,2,0.0
2023-12-02,0,0,0,0.0,0.0,0,0.0
2023-12-03,1,0,46800,0.0,3000.0,1,1.0
2023-12-04,1,0,20000,0.0,9000.0,1,0.0
2023-12-05,3,0,50000,0.0,8000.0,3,0.0
2023-12-06,1,0,155000,0.0,4000.0,1,0.0
2023-12-07,5,0,125306,0.0,20000.0,5,0.0
2023-12-08,2,0,80040,0.0,16000.0,2,0.0
2023-12-09,0,0,0,0.0,0.0,0,0.0
2023-12-10,0,0,0,0.0,0.0,0,0.0
2023-12-11,0,0,0,0.0,0.0,0,0.0
2023-12-12,0,0,0,0.0,0.0,0,0.0
2023-12-13,0,0,0,0.0,0.0,0,0.0
2023-12-14,1,0,38228,0.0,0.0,1,0.0
2023-12-15,0,0,0,0.0,0.0,0,0.0
2023-12-16,0,0,0,0.0,0.0,0,0.0
2023-12-17,0,0,0,0.0,0.0,0,0.0
2023-12-18,0,0,0,0.0,0.0,0,0.0
2023-12-19,1,0,17640,0.0,8000.0,1,0.0
2023-12-20,0,0,0,0.0,0.0,0,0.0
2023-12-21,0,0,0,0.0,0.0,0,0.0
2023-12-22,0,0,0,0.0,0.0,0,0.0
2023-12-23,5,0,57680,0.0,10000.0,5,1.0
2023-12-24,0,0,0,0.0,0.0,0,0.0
2023-12-25,0,0,0,0.0,0.0,0,0.0
2023-12-26,0,0,0,0.0,0.0,0,0.0
2023-12-27,0,0,0,0.0,0.0,0,0.0
2023-12-28,0,0,0,0.0,0.0,0,0.0
2023-12-29,2,0,113212,0.0,13500.0,2,0.0
2023-12-30,10,0,161160,0.0,34000.0,10,1.0
2023-12-31,0,0,0,0.0,0.0,0,0.0
2024-01-01,1,0,590436,0.0,33000.0,1,0.0
2024-01-02,2,0,196900,0.0,8000.0,2,0.0
2024-01-03,0,0,0,0.0,0.0,0,0.0
2024-01-04,1,0,16600,0.0,10000.0,1,0.0
2024-01-05,0,0,0,0.0,0.0,0,0.0
2024-01-06,0,0,0,0.0,0.0,0,0.0
2024-01-07,1,0,33015,0.0,8000.0,1,1.0
2024-01-08,12,0,212080,0.0,42000.0,12,0.0
2024-01-09,0,0,0,0.0,0.0,0,0.0
2024-01-10,0,0,0,0.0,0.0,0,0.0
2024-01-11,0,0,0,0.0,0.0,0,0.0
2024-01-12,1,0,180089,0.0,43200.0,1,0.0
2024-01-13,0,0,0,0.0,0.0,0,0.0
2024-01-14,0,0,0,0.0,0.0,0,0.0
2024-01-15,7,0,770020,0.0,84000.0,7,0.0
2024-01-16,0,0,0,0.0,0.0,0,0.0
2024-01-17,1,0,122000,0.0,20000.0,1,0.0
2024-01-18,0,0,0,0.0,0.0,0,0.0
2024-01-19,0,0,0,0.0,0.0,0,0.0
2024-01-20,0,0,0,0.0,0.0,0,0.0
2024-01-21,4,0,85161,0.0,0.0,4,1.0
2024-01-22,0,0,0,0.0,0.0,0,0.0
2024-01-23,1,0,35216,0.0,8000.0,1,0.0
2024-01-24,0,0,0,0.0,0.0,0,0.0
2024-01-25,0,0,0,0.0,0.0,0,0.0
2024-01-26,0,0,0,0.0,0.0,0,0.0
2024-01-27,1,0,39700,0.0,8000.0,1,1.0
2024-01-28,1,0,128159,0.0,3000.0,1,1.0
2024-01-29,0,0,0,0.0,0.0,0,0.0
2024-01-30,0,0,0,0.0,0.0,0,0.0
2024-01-31,0,0,0,0.0,0.0,0,0.0
2024-02-01,0,0,0,0.0,0.0,0,0.0
2024-02-02,2,0,84952,0.0,13500.0,2,0.0
2024-02-03,1,0,68900,0.0,8000.0,1,1.0
2024-02-04,0,0,0,0.0,0.0,0,0.0
2024-02-05,0,0,0,0.0,0.0,0,0.0
2024-02-06,0,0,0,0.0,0.0,0,0.0
2024-02-07,0,0,0,0.0,0.0,0,0.0
2024-02-08,1,0,95000,0.0,8000.0,1,0.0
2024-02-09,0,0,0,0.0,0.0,0,0.0
2024-02-10,1,0,91886,0.0,1000.0,1,1.0
2024-02-11,1,0,88000,0.0,16000.0,1,1.0
2024-02-12,0,0,0,0.0,0.0,0,0.0
2024-02-13,0,0,0,0.0,0.0,0,0.0
2024-02-14,0,0,0,0.0,0.0,0,0.0
2024-02-15,0,0,0,0.0,0.0,0,0.0
2024-02-16,0,0,0,0.0,0.0,0,0.0
2024-02-17,5,0,141400,0.0,45000.0,5,1.0
2024-02-18,1,0,130000,0.0,28000.0,1,1.0
2024-02-19,8,0,265290,0.0,20000.0,8,0.0
2024-02-20,0,0,0,0.0,0.0,0,0.0
2024-02-21,0,0,0,0.0,0.0,0,0.0
2024-02-22,2,0,156935,0.0,27300.0,2,0.0
2024-02-23,1,0,121000,0.0,20000.0,1,0.0
2024-02-24,5,0,167752,0.0,48000.0,5,1.0
2024-02-25,1,0,89900,0.0,31000.0,1,1.0
2024-02-26,0,0,0,0.0,0.0,0,0.0
2024-02-27,0,0,0,0.0,0.0,0,0.0
2024-02-28,0,0,0,0.0,0.0,0,0.0
2024-02-29,0,0,0,0.0,0.0,0,0.0
2024-03-01,1,0,32000,0.0,10000.0,1,0.0
2024-03-02,0,0,0,0.0,0.0,0,0.0
2024-03-03,3,0,128708,0.0,2000.0,3,1.0
2024-03-04,0,0,0,0.0,0.0,0,0.0
2024-03-05,0,0,0,0.0,0.0,0,0.0
2024-03-06,0,0,0,0.0,0.0,0,0.0
