Waktu Pesanan Dibuat,Jumlah,Returned Quantity,Total Pembayaran,Total Diskon,Ongkos Kirim Dibayar oleh Pembeli,Jumlah Terjual Bersih,Weekend
2023-12-01,1,0,96445,0.0,43000.0,1,0.0
2023-12-02,0,0,0,0.0,0.0,0,0.0
2023-12-03,1,0,72240,0.0,33500.0,1,1.0
2023-12-04,1,0,74840,0.0,16000.0,1,0.0
2023-12-05,0,0,0,0.0,0.0,0,0.0
2023-12-06,0,0,0,0.0,0.0,0,0.0
2023-12-07,0,0,0,0.0,0.0,0,0.0
2023-12-08,2,0,111800,0.0,30500.0,2,0.0
2023-12-09,0,0,0,0.0,0.0,0,0.0
2023-12-10,0,0,0,0.0,0.0,0,0.0
2023-12-11,4,0,174400,0.0,15500.0,4,0.0
2023-12-12,25,0,377841,0.0,7500.0,25,0.0
2023-12-13,3,0,121000,0.0,0.0,3,0.0
2023-12-14,1,0,38960,0.0,14500.0,1,0.0
2023-12-15,5,0,180720,0.0,8000.0,5,0.0
2023-12-16,6,0,83160,0.0,1000.0,6,1.0
2023-12-17,0,0,0,0.0,0.0,0,0.0
2023-12-18,0,0,0,0.0,0.0,0,0.0
2023-12-19,11,0,377949,503500.0,0.0,11,0.0
2023-12-20,2,0,105040,0.0,34000.0,2,0.0
2023-12-21,8,0,181648,0.0,0.0,8,0.0
2023-12-22,2,0,92120,0.0,9500.0,2,0.0
2023-12-23,1,0,19790,0.0,0.0,1,1.0
2023-12-24,0,0,0,0.0,0.0,0,0.0
2023-12-25,1,0,26000,0.0,0.0,1,0.0
2023-12-26,10,0,91900,0.0,0.0,10,0.0
2023-12-27,0,0,0,0.0,0.0,0,0.0
2023-12-28,9,0,158764,0.0,38000.0,9,0.0
2023-12-29,20,0,774520,0.0,35200.0,20,0.0
2023-12-30,0,0,0,0.0,0.0,0,0.0
2023-12-31,0,0,0,0.0,0.0,0,0.0
2024-01-01,5,0,1230921,0.0,66000.0,5,0.0
2024-01-02,1,0,86900,0.0,0.0,1,0.0
2024-01-03,100,0,1546960,0.0,144000.0,100,0.0
2024-01-04,0,0,0,0.0,0.0,0,0.0
2024-01-05,0,0,0,0.0,0.0,0,0.0
2024-01-06,4,0,127050,0.0,24000.0,4,1.0
2024-01-07,4,0,75500,0.0,21500.0,4,1.0
2024-01-08,2,0,59440,0.0,16000.0,2,0.0
2024-01-09,0,0,0,0.0,0.0,0,0.0
2024-01-10,0,0,0,0.0,0.0,0,0.0
2024-01-11,6,0,296670,0.0,20000.0,6,0.0
