id,title,author,genre,language,publicationYear,publisher,pageCount,tags,rating_average,most_popular_country,bestseller_status,awards,age_category,adapted_to_movie,movie_release_year
1,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,English,1997,Bloomsbury,309,"magic,school,adventure",4.89,UK,True,"Smarties Prize,British Book Award",Children,True,2001
2,To Kill a Mockingbird,Harper Lee,Southern Gothic,English,1960,J.B. Lippincott & Co.,281,"classic,law,racism,history",4.85,USA,True,Pulitzer Prize,Adult,True,1962
3,1984,George Orwell,Dystopian,English,1949,Secker & Warburg,328,"politics,scifi,totalitarianism",4.8,UK,True,Prometheus Hall of Fame,Adult,True,1984
4,The Great Gatsby,F. Scott Fitzgerald,Tragedy,English,1925,Charles Scribner's Sons,180,"classic,wealth,romance,jazz age",4.4,USA,True,None,Adult,True,2013
5,The Hobbit,J.R.R. Tolkien,Fantasy,English,1937,George Allen & Unwin,310,"adventure,dragons,magic",4.75,UK,True,Keith Barker Millennium Book Award,Children,True,2012
6,Pride and Prejudice,Jane Austen,Romance,English,1813,T. Egerton,279,"classic,love,victorian,satire",4.65,UK,True,None,Adult,True,2005
7,The Catcher in the Rye,J.D. Salinger,Realism,English,1951,"Little, Brown and Company",234,"teen,classic,angst,coming-of-age",4.05,USA,True,None,Young Adult,False,1998
8,The Da Vinci Code,Dan Brown,Thriller,English,2003,Doubleday,489,"mystery,religion,art,conspiracy",4.3,USA,True,British Book Award,Adult,True,2006
9,The Hunger Games,Suzanne Collins,Dystopian,English,2008,Scholastic,374,"survival,action,romance,scifi",4.72,USA,True,California Young Reader Medal,Young Adult,True,2012
10,The Lord of the Rings,J.R.R. Tolkien,Fantasy,English,1954,George Allen & Unwin,1178,"epic,magic,war,adventure",4.92,UK,True,International Fantasy Award,Adult,True,2001
11,The Alchemist,Paulo Coelho,Adventure,English,1988,HarperCollins,163,"philosophy,travel,dreams",4.55,Brazil,True,Corine International Book Prize,Adult,False,1998
12,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",C.S. Lewis,Fantasy,English,1950,Geoffrey Bles,208,"magic,kids,christianity,winter",4.7,UK,True,Lewis Carroll Shelf Award,Children,True,2005
13,Animal Farm,George Orwell,Satire,English,1945,Secker & Warburg,112,"politics,animals,allegory",4.6,UK,True,Hugo Award,Adult,True,1954
14,Jane Eyre,Charlotte Brontë,Gothic,English,1847,"Smith, Elder & Co.",500,"classic,romance,mystery",4.58,UK,True,None,Adult,True,2011
15,Gone with the Wind,Margaret Mitchell,Historical Fiction,English,1936,Macmillan,1037,"war,romance,history,south",4.45,USA,True,"Pulitzer Prize,National Book Award",Adult,True,1939
16,Fahrenheit 451,Ray Bradbury,Sci-Fi,English,1953,Ballantine Books,249,"censorship,future,books",4.5,USA,True,Prometheus Hall of Fame,Adult,True,1966
17,Brave New World,Aldous Huxley,Dystopian,English,1932,Chatto & Windus,268,"science,society,philosophy",4.35,UK,True,None,Adult,True,1998
18,Charlotte's Web,E.B. White,Children's Fiction,English,1952,Harper & Brothers,184,"animals,friendship,kids",4.8,USA,True,Newbery Honor,Children,True,2006
19,The Kite Runner,Khaled Hosseini,Drama,English,2003,Riverhead Books,371,"friendship,betrayal,afghanistan",4.68,USA,True,Boeke Prize,Adult,True,2007
20,The Book Thief,Markus Zusak,Historical Fiction,English,2005,Picador,552,"war,books,death,history",4.76,Australia,True,Michael L. Printz Award,Young Adult,True,2013
21,The Little Prince,Antoine de Saint-Exupéry,Fable,English,1943,Reynal & Hitchcock,96,"philosophy,childhood,classic",4.95,USA,True,Retro Hugo,Children,True,1974
22,The Handmaid's Tale,Margaret Atwood,Dystopian,English,1985,McClelland and Stewart,311,"feminism,dystopia,politics",4.12,Canada,True,Arthur C. Clarke Award,Adult,True,1990
23,Jurassic Park,Michael Crichton,Sci-Fi,English,1990,Knopf,399,"dinosaurs,science,thriller",4.05,USA,True,None,Adult,True,1993
24,The Fault in Our Stars,John Green,Romance,English,2012,Dutton Books,313,"love,sad,teen,illness",4.18,USA,True,Goodreads Choice Award,Young Adult,True,2014
25,The Shining,Stephen King,Horror,English,1977,Doubleday,447,"horror,ghosts,psychological",4.25,USA,True,None,Adult,True,1980
26,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Sci-Fi,English,1979,Pan Books,193,"humor,space,satire",4.22,UK,True,Golden Pan,Adult,True,2005
27,Wuthering Heights,Emily Brontë,Gothic,English,1847,Thomas Cautley Newby,416,"classic,romance,revenge",3.88,UK,True,None,Adult,True,1939
28,Little Women,Louisa May Alcott,Coming-of-age,English,1868,Roberts Brothers,759,"sisters,family,classic,history",4.1,USA,True,None,Children,True,2019
29,Frankenstein,Mary Shelley,Sci-Fi,English,1818,"Lackington, Hughes",280,"horror,science,classic",3.85,UK,True,None,Adult,True,1931
30,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy,English,1865,Macmillan,200,"magic,classic,surreal",4.05,UK,True,None,Children,True,1951
31,The Picture of Dorian Gray,Oscar Wilde,Gothic,English,1890,Lippincott's Monthly,254,"classic,philosophy,horror",4.11,UK,True,None,Adult,True,1945
32,Gone Girl,Gillian Flynn,Thriller,English,2012,Crown Publishing Group,419,"mystery,crime,twist",4.1,USA,True,Goodreads Choice Award,Adult,True,2014
33,The Girl with the Dragon Tattoo,Stieg Larsson,Crime,English,2005,Knopf,465,"mystery,sweden,hacker",4.15,Sweden,True,Glass Key Award,Adult,True,2011
